j - 1	 i - 6
j - 2	 i - 4
j - 3	 i - 24
j - 4	 i - 13
j - 5	 i - 15
j - 6	 i - 12
j - 7	 i - 19
j - 8	 i - 8
j - 9	 i - 14
j - 10	 i - 4
j - 11	 i - 8
j - 12	 i - 19
j - 13	 i - 1
j - 14	 i - 18
j - 15	 i - 21
j - 16	 i - 4
j - 17	 i - 12
j - 18	 i - 17
j - 19	 i - 14
j - 20	 i - 5
j - 21	 i - 7
j - 22	 i - 7
j - 23	 i - 22
j - 24	 i - 1
j - 25	 i - 16
j - 26	 i - 24
j - 27	 i - 24
j - 28	 i - 6
j - 29	 i - 4
j - 30	 i - 4
j - 31	 i - 0
j - 32	 i - 15
j - 33	 i - 20
j - 34	 i - 17
j - 35	 i - 12
j - 36	 i - 6
j - 37	 i - 0
j - 38	 i - 16
j - 39	 i - 16
j - 40	 i - 4
j - 41	 i - 16
j - 42	 i - 23
j - 43	 i - 2
j - 44	 i - 22
j - 45	 i - 8
j - 46	 i - 20
j - 47	 i - 21
j - 48	 i - 2
j - 49	 i - 21
j - 50	 i - 9
j - 51	 i - 0
j - 52	 i - 13
j - 53	 i - 6
j - 54	 i - 3
j - 55	 i - 18
j - 56	 i - 13
j - 57	 i - 22
j - 58	 i - 11
j - 59	 i - 12
j - 60	 i - 19
j - 61	 i - 6
j - 62	 i - 14
j - 63	 i - 14
j - 64	 i - 11
j - 65	 i - 12
j - 66	 i - 3
j - 67	 i - 16
j - 68	 i - 17
j - 69	 i - 18
j - 70	 i - 21
j - 71	 i - 1
j - 72	 i - 2
j - 73	 i - 22
j - 74	 i - 7
j - 75	 i - 23
j - 76	 i - 12
j - 77	 i - 9
j - 78	 i - 20
j - 79	 i - 20
j - 80	 i - 15
j - 81	 i - 15
j - 82	 i - 2
j - 83	 i - 21
j - 84	 i - 8
j - 85	 i - 16
j - 86	 i - 1
j - 87	 i - 1
j - 88	 i - 4
j - 89	 i - 20
j - 90	 i - 24
j - 91	 i - 23
j - 92	 i - 11
j - 93	 i - 10
j - 94	 i - 3
j - 95	 i - 5
j - 96	 i - 0
j - 97	 i - 16
j - 98	 i - 12
j - 99	 i - 12
j - 100	 i - 24
j - 101	 i - 18
j - 102	 i - 11
j - 103	 i - 11
j - 104	 i - 2
j - 105	 i - 24
j - 106	 i - 2
j - 107	 i - 8
j - 108	 i - 18
j - 109	 i - 15
j - 110	 i - 9
j - 111	 i - 19
j - 112	 i - 21
j - 113	 i - 14
j - 114	 i - 7
j - 115	 i - 11
j - 116	 i - 14
j - 117	 i - 0
j - 118	 i - 2
j - 119	 i - 10
j - 120	 i - 16
j - 121	 i - 21
j - 122	 i - 1
j - 123	 i - 22
j - 124	 i - 22
j - 125	 i - 12
j - 126	 i - 15
j - 127	 i - 10
j - 128	 i - 0
j - 129	 i - 24
j - 130	 i - 1
j - 131	 i - 17
j - 132	 i - 15
j - 133	 i - 2
j - 134	 i - 8
j - 135	 i - 21
j - 136	 i - 10
j - 137	 i - 22
j - 138	 i - 7
j - 139	 i - 18
j - 140	 i - 19
j - 141	 i - 23
j - 142	 i - 13
j - 143	 i - 10
j - 144	 i - 7
j - 145	 i - 6
j - 146	 i - 13
j - 147	 i - 11
j - 148	 i - 1
j - 149	 i - 9
j - 150	 i - 9
j - 151	 i - 8
j - 152	 i - 12
j - 153	 i - 2
j - 154	 i - 2
j - 155	 i - 5
j - 156	 i - 21
j - 157	 i - 11
j - 158	 i - 21
j - 159	 i - 21
j - 160	 i - 4
j - 161	 i - 13
j - 162	 i - 16
j - 163	 i - 22
j - 164	 i - 6
j - 165	 i - 19
j - 166	 i - 3
j - 167	 i - 21
j - 168	 i - 11
j - 169	 i - 0
j - 170	 i - 23
j - 171	 i - 21
j - 172	 i - 2
j - 173	 i - 14
j - 174	 i - 6
j - 175	 i - 8
j - 176	 i - 23
j - 177	 i - 13
j - 178	 i - 0
j - 179	 i - 0
j - 180	 i - 16
j - 181	 i - 9
j - 182	 i - 12
j - 183	 i - 15
j - 184	 i - 15
j - 185	 i - 17
j - 186	 i - 2
j - 187	 i - 15
j - 188	 i - 19
j - 189	 i - 6
j - 190	 i - 18
j - 191	 i - 0
j - 192	 i - 22
j - 193	 i - 11
j - 194	 i - 14
j - 195	 i - 18
j - 196	 i - 8
j - 197	 i - 13
j - 198	 i - 16
j - 199	 i - 8
j - 200	 i - 1
j - 201	 i - 19
j - 202	 i - 18
j - 203	 i - 1
j - 204	 i - 3
j - 205	 i - 22
j - 206	 i - 7
j - 207	 i - 3
j - 208	 i - 15
j - 209	 i - 11
j - 210	 i - 11
j - 211	 i - 1
j - 212	 i - 7
j - 213	 i - 0
j - 214	 i - 13
j - 215	 i - 1
j - 216	 i - 22
j - 217	 i - 3
j - 218	 i - 1
j - 219	 i - 23
j - 220	 i - 1
j - 221	 i - 12
j - 222	 i - 15
j - 223	 i - 14
j - 224	 i - 16
j - 225	 i - 7
j - 226	 i - 16
j - 227	 i - 13
j - 228	 i - 2
j - 229	 i - 20
j - 230	 i - 8
j - 231	 i - 10
j - 232	 i - 3
j - 233	 i - 20
j - 234	 i - 20
j - 235	 i - 2
j - 236	 i - 20
j - 237	 i - 0
j - 238	 i - 1
j - 239	 i - 23
j - 240	 i - 15
j - 241	 i - 6
j - 242	 i - 13
j - 243	 i - 19
j - 244	 i - 6
j - 245	 i - 7
j - 246	 i - 24
j - 247	 i - 3
j - 248	 i - 12
j - 249	 i - 16
j - 250	 i - 23
j - 251	 i - 23
j - 252	 i - 1
j - 253	 i - 8
j - 254	 i - 12
j - 255	 i - 3
j - 256	 i - 22
j - 257	 i - 11
j - 258	 i - 8
j - 259	 i - 24
j - 260	 i - 16
j - 261	 i - 20
j - 262	 i - 8
j - 263	 i - 13
j - 264	 i - 2
j - 265	 i - 8
j - 266	 i - 22
j - 267	 i - 5
j - 268	 i - 9
j - 269	 i - 10
j - 270	 i - 3
j - 271	 i - 5
j - 272	 i - 13
j - 273	 i - 18
j - 274	 i - 5
j - 275	 i - 21
j - 276	 i - 21
j - 277	 i - 21
j - 278	 i - 1
j - 279	 i - 17
j - 280	 i - 1
j - 281	 i - 21
j - 282	 i - 0
j - 283	 i - 22
j - 284	 i - 18
j - 285	 i - 16
j - 286	 i - 19
j - 287	 i - 21
j - 288	 i - 6
j - 289	 i - 15
j - 290	 i - 15
j - 291	 i - 13
j - 292	 i - 11
j - 293	 i - 21
j - 294	 i - 14
j - 295	 i - 9
j - 296	 i - 18
j - 297	 i - 19
j - 298	 i - 9
j - 299	 i - 4
j - 300	 i - 12
j - 301	 i - 14
j - 302	 i - 22
j - 303	 i - 12
j - 304	 i - 1
j - 305	 i - 22
j - 306	 i - 21
j - 307	 i - 15
j - 308	 i - 1
j - 309	 i - 5
j - 310	 i - 6
j - 311	 i - 22
j - 312	 i - 20
j - 313	 i - 8
j - 314	 i - 9
j - 315	 i - 20
j - 316	 i - 3
j - 317	 i - 15
